1.0135,50
1.0136,50
1.013,50
1.0128,50
1.0132,50
1.0134,50
1.0129,50
1.0134,50
1.0137,50
1.0131,50
1.0085,125
1.0086,125
1.0084,125
1.0083,125
1.0085,125
1.0083,125
1.0085,125
1.0083,125
1.0083,125
1.0082,125
1.0065,250
1.0064,250
1.0066,250
1.0066,250
1.0064,250
1.0066,250
1.0065,250
1.0065,250
1.0066,250
1.0066,250
1.0055,500
1.0055,500
1.0055,500
1.0055,500
1.0055,500
1.0056,500
1.0056,500
1.0055,500
1.0055,500
1.0055,500
1.0051,750
1.0052,750
1.0052,750
1.0051,750
1.005,750
1.0051,750
1.005,750
1.0052,750
1.0051,750
1.005,750
1.0051,1000
1.0052,1000
1.0052,1000
1.0051,1000
1.005,1000
1.0051,1000
1.005,1000
1.0052,1000
1.0051,1000
1.005,1000
1.0047,1500
1.0046,1500
1.0048,1500
1.0047,1500
1.0049,1500
1.0048,1500
1.0046,1500
1.0049,1500
1.0049,1500
1.0046,1500
1.0035,2500
1.0026,2500
1.0034,2500
1.0035,2500
1.0037,2500
1.0032,2500
1.0004,2500
1.0034,2500
1.0037,2500
1.0044,2500
